account_id,company,sector,city,website,public_channel,appointment_type,fit_score,pain_score,reachability_score,timing_score,strategic_score,total_score,tier,status,next_action,source_url,notes
CL-REAL-001,Clinica Dental AHOA,Dental,Barcelona,https://ahoa.es,phone|email|online_booking|whatsapp,primera visita e implantes,34,28,15,8,10,95,A,qualified_A,preparar email personalizado y microauditoria,https://ahoa.es,"Implantologia, estetica dental, primera visita online, telefono, email y WhatsApp visibles."
CL-REAL-002,Clinica Dental Perez Belmonte,Dental,Vitoria-Gasteiz,https://www.perezbelmonte.com,phone|email|form|whatsapp,primera valoracion gratuita e implantes,34,29,15,9,9,96,A,qualified_A,contactar con angulo primera valoracion gratis y WhatsApp,https://www.perezbelmonte.com,"Primera valoracion gratuita, WhatsApp/formulario/telefono, implantes y ampliacion reciente."
CL-REAL-003,Clinica Dental Bayona,Dental,Pamplona,https://clinicabayona.es,phone|email|whatsapp,primera visita periodoncia e implantes,33,25,15,7,9,89,A,qualified_A,preparar mensaje sobre dos sedes y WhatsApp,https://clinicabayona.es,"Dos sedes, WhatsApp visible, primera visita, periodoncia, implantes y tecnologia."
CL-REAL-004,Clinica Pardinas,Dental,A Coruna,https://clinicapardinas.com/es,phone|email|whatsapp|online_consultation,consulta online y cita presencial,35,27,15,8,10,95,A,qualified_A,contactar con angulo consulta online + cita presencial,https://clinicapardinas.com/es,"WhatsApp, consulta online, cita presencial, implantologia y marca educativa Dentalk."
CL-REAL-005,Clinica Palma Medicodental,Dental,Madrid,,press_mentioned,primera visita gratuita con TAC 3D,32,22,8,9,8,79,B,enriched,verificar web y canal directo antes de outreach,https://cadenaser.com/cmadrid/2026/06/10/clinica-palma-medicodental-especialistas-en-implantes-de-carga-inmediata-y-poco-hueso-en-madrid-radio-madrid/,"Especialistas en carga inmediata y poco hueso; fuente de prensa reciente, falta canal directo verificado."
CL-REAL-006,Ferrus & Bratos,Dental,Madrid,,press_mentioned,implantes de carga inmediata,34,23,8,7,9,81,A,enriched,verificar contacto oficial antes de outreach,https://cadenaser.com/cmadrid/2024/11/07/la-clinica-dental-ferrus-bratos-referente-en-implantes-de-carga-inmediata-radio-madrid/,"Implantes de carga inmediata, sedacion consciente y alto volumen historico; falta canal directo verificado."
CL-REAL-007,Clinica Dra Garrigos,Estetica,Alicante,https://www.dragarrigos.es,phone|whatsapp|social,medicina estetica y valoraciones,33,29,15,9,9,95,A,qualified_A,contactar con angulo WhatsApp + valoraciones de estetica,https://www.dragarrigos.es,"Pedir cita por WhatsApp, tratamientos faciales/corporales, financiacion y redes visibles."
CL-REAL-008,Sculpture Clinic,Estetica,Madrid,https://sculptureclinic.es,phone|email|form|instagram|tiktok,cirugia estetica y valoraciones,34,25,15,8,8,90,A,qualified_A,contactar con angulo formularios + alto valor por valoracion,https://sculptureclinic.es,"Formulario, telefono, email, Instagram/TikTok y cirugia estetica de alto valor."
CL-REAL-009,Hi Skin,Estetica,Marbella,,press_mentioned,medicina estetica personalizada,30,20,6,8,7,71,B,research,verificar web y canal directo,https://cadenaser.com/andalucia/2025/06/04/hi-skin-un-nuevo-concepto-de-medicina-estetica-en-pleno-corazon-de-marbella-ser-marbella-costa-del-sol/,"Clinica estetica dirigida por Flor de Marco; fuente de prensa, falta canal directo verificado."
CL-REAL-010,Podoactiva Gran Canaria,Podologia,Las Palmas de Gran Canaria,,press_mentioned,podologia y biomecanica,24,18,6,8,7,63,B,research,usar como segundo segmento local si dental/estetica no responde,https://cadenaser.com/aragon/2024/10/28/podoactiva-inaugura-una-nueva-clinica-en-las-palmas-y-continua-creciendo-en-las-islas-canarias-radio-huesca/,"Clinica de podologia en Las Palmas con tecnologia y cita; no es ICP principal."
